"Company","Item","Energy..kcal.day.","Fat..g.day.","Saturated.fat..g.day.","Salt..g.day.","Carbohydrate..g.day.","Fibre..g.day..","Free.sugars..g.day.","Protein..g.day."
"McDonald’s","Iced Vanilla Latte (Medium)",190,4.5,2.5,0.175,33,0,33,5
"McDonald’s","Iced Vanilla Latte (Large)",230,6,3.5,0.2125,41,0,41,6
"McDonald’s","Iced Latte with Sugar Free Vanilla Syrup (Small)",60,3,2,0.2,12,0,4,3
"McDonald’s","Iced Latte with Sugar Free Vanilla Syrup (Medium)",90,5,3,0.2625,14,0,6,5
"McDonald’s","Iced Latte with Sugar Free Vanilla Syrup (Large)",110,6,3.5,0.325,19,0,8,6
"McDonald’s","Iced Mocha (Medium)",310,13,8,0.35,42,0,35,7
"McDonald’s","Caramel Mocha (Large)",360,14,8,0.55,47,0,46,10
"McDonald’s","Caramel Mocha (Medium)",290,12,7,0.45,39,0,38,8
"McDonald’s","Caramel Mocha (Small)",250,11,6,0.375,33,0,31,7
"McDonald’s","Iced Caramel Mocha (Large)",380,16,9,0.525,48,0,46,10
"McDonald’s","Iced Caramel Mocha (Medium)",300,14,8,0.4,36,0,33,8
"McDonald’s","Iced Caramel Mocha (Small)",240,12,7,0.325,29,0,26,6
"McDonald’s","Frappe Caramel (Small)",450,20,13,0.3375,61,0,57,6
"McDonald’s","Frappe Caramel (Medium)",550,24,15,0.4,76,0,71,8
"McDonald’s","Frappe Caramel (Large)",680,29,18,0.5,94,0,88,10
"McDonald’s","Frappe Mocha (Small)",450,20,13,0.325,62,1,56,7
"McDonald’s","Frappe Mocha (Medium)",560,24,15,0.4,78,1,70,8
"McDonald’s","Frappe Mocha (Large)",680,28,18,0.5,96,1,87,10
"McDonald’s","Strawberry Banana Smoothie (Large)",330,1,0.5,0.1375,77,4,70,3
"McDonald’s","Strawberry Banana Smoothie (Medium)",260,1,0,0.1,60,3,54,2
"McDonald’s","Strawberry Banana Smoothie (Small)",210,0.5,0,0.0875,49,2,44,2
"McDonald’s","Wild Berry Smoothie (Large)",320,1,0.5,0.1125,75,4,69,3
"McDonald’s","Wild Berry Smoothie (Medium)",260,1,0,0.0875,60,4,55,3
"McDonald’s","Wild Berry Smoothie (Small)",210,0.5,0,0.075,48,3,44,2
"Burger King","Whopper® Sandwich",660,40,12,2.45,49,2,11,28
"Burger King","Whopper® Sandwich with Cheese",740,46,16,3.35,50,2,11,32
"Burger King","Bacon & Cheese Whopper® Sandwich",790,51,17,3.9,50,2,11,35
"Burger King","Double Whopper® Sandwich",900,58,20,2.625,49,2,11,48
"Burger King","Double Whopper® Sandwich with Cheese",980,64,24,3.525,50,2,11,52
"Burger King","Triple Whopper® Sandwich",1130,75,28,2.8,49,2,11,67
"Burger King","Triple Whopper® Sandwich with Cheese",1220,82,32,3.675,50,2,11,71
"Burger King","Whopper JR.® Sandwich",310,18,5,0.975,27,1,7,13
"Burger King","Bacon King Sandwich",1150,79,31,5.375,49,2,10,61
"Burger King","Cheddar Bacon King Sandwich",1190,84,33,4.825,50,2,11,64
"Burger King","Single Quarter Pound King Sandwich",580,29,13,3.275,49,2,10,32
"Burger King","Double Quarter Pound King Sandwich",900,54,25,4.35,50,2,11,56
"Burger King","Single Stacker King",700,42,16,3.4,48,1,10,35
"Burger King","Double Stacker King",1050,68,28,4.675,49,1,11,61
"Burger King","IMPOSSIBLE Whopper® Sandwich",630,34,11,2.7,58,4,12,25
"Burger King","Hamburger",240,10,3.5,0.95,26,1,6,13
"Burger King","Cheeseburger",280,13,6,1.4,27,1,7,15
"Burger King","Double Hamburger",350,18,7,1.025,26,1,6,21
"Burger King","Double Cheeseburger",390,21,9,1.475,27,1,7,23
"Burger King","Extra Long Cheeseburger",630,37,14,2.625,45,2,9,29
"Burger King","Bacon Cheeseburger",320,16,7,1.775,27,1,7,17
"Burger King","Bacon Double Cheeseburger",420,24,10,1.85,27,1,7,25
"Burger King","Crispy Chicken Sandwich",670,41,7,2.7,54,2,8,23
"Burger King","Spicy Crispy Chicken Sandwich",700,42,7,2.85,57,3,8,25
"Burger King","Original Chicken Sandwich",660,40,7,2.925,48,2,5,28
"Burger King","Bacon & Cheese Crispy Chicken Sandwich",800,52,13,4.125,55,2,8,30
"Burger King","BBQ Bacon Crispy Chicken Sandwich",790,49,10,4.075,60,2,13,28
"Burger King","Crispy Chicken Jr.",450,30,5,1.95,34,2,5,12
"Burger King","Spicy Crispy Chicken Jr.",390,21,3.5,1.85,37,2,6,12
"Burger King","Chicken Nuggets- 4pc",170,11,1.5,0.775,11,1,0,8
"Burger King","Chicken Nuggets- 6pc",260,16,2.5,1.175,16,1,0,12
"Burger King","Chicken Nuggets- 10pc",430,27,4.5,1.95,27,2,0,20
"Burger King","Chicken Nuggets- 20pc",860,54,9,3.925,53,3,1,39
"Burger King","Spicy Chicken Nuggets- 4pc",210,15,3,1.425,11,2,0,8
"Burger King","Spicy Chicken Nuggets- 6pc",320,22,4.5,2.125,17,3,0,12
"Burger King","Spicy Chicken Nuggets- 10 pc",530,37,7,3.55,28,4,1,20
"Burger King","Spicy Chicken Nuggets- 20 pc",1050,74,15,7.1,56,9,1,40
"Burger King","Chicken Fries – 9 pc.",280,17,2.5,2.125,20,1,1,13
"Burger King","Crispy Taco",170,9,3,1.025,19,2,1,5
"Burger King","BIG FISH Sandwich",510,28,4.5,2.95,51,2,7,16
"Burger King","Garden Chicken Salad with Crispy Chicken – no dressing",440,25,7,2.325,31,3,4,25
"Burger King","Club Salad with Crispy Chicken – no dressing",540,33,10,3.45,31,3,5,31
"Burger King","Garden Side Salad – w/o dressing",60,4,2.5,0.2375,3,1,2,4
"Burger King","Ken’s Ranch Dressing",260,28,4,0.6,2,0,2,1
"Burger King","Ken’s Golden Italian Dressing",160,17,2.5,0.95,4,0,3,0
"Burger King","Ken’s Lite Honey Balsamic Vinaigrette",120,8,1,0.55,14,0,11,0
"Burger King","Buttery Garlic Croutons- Packet",60,2.5,0,0.45,9,0,1,1
"Burger King","Onion Rings – value",150,8,1.5,1,19,1,2,1
"Burger King","Onion Rings – small",320,16,3,2.1,41,3,4,3
"Burger King","Onion Rings – medium",410,21,3.5,2.7,53,4,5,4
"Burger King","Onion Rings – large",500,25,4.5,3.275,64,5,7,5
"Burger King","French Fries – value (unsalted)",220,9,1.5,0.525,34,3,1,2
"Burger King","French Fries – small",320,13,2,0.75,49,5,1,4
"Burger King","French Fries – medium",380,16,2,0.9,58,6,1,4
"Burger King","French Fries – large",430,18,2.5,1.025,66,7,2,5
"Burger King","Kids Oatmeal",170,3,1.5,0.65,32,3,12,4
"Burger King","Chicken Nuggets- 4pc",170,11,1.5,0.775,11,1,0,8
"Burger King","Chicken Nuggets- 6pc",260,16,2.5,1.175,16,1,0,12
"Burger King","Hamburger",240,10,3.5,0.95,26,1,6,13
"Burger King","Cheeseburger",280,13,6,1.4,27,1,7,15
"Burger King","Mott’s® Natural Applesauce",50,0,0,0,13,1,11,0
"Burger King","Fat FREE Milk (8 fl oz)",90,0,0,0.3125,13,0,12,9
"Burger King","1% Low Fat Chocolate Milk (8 fl oz)",160,2.5,1.5,0.375,26,0,25,8
"Burger King","Capri Sun® 100% Apple Juice (6 fl oz)",80,0,0,0.0625,20,0,20,0
"Burger King","PB&J Jamwich",300,16,3,0.725,33,4,11,11
"Burger King","Soft Serve Cone",190,4.5,3,0.375,32,0,24,5
"Burger King","Dutch Apple Pie",340,14,6,0.775,51,1,25,3
"Burger King","HERSHEY®’S Sundae Pie",310,19,12,0.55,32,1,22,3
"Burger King","Pie made with TWIX®",370,20,13,0.825,45,1,30,4
"Burger King","OREO® Cookie Cheesecake",350,18,8,0.775,41,1,25,6
"Burger King","Soft Serve Cone",190,4.5,3,0.375,32,0,24,5
"Burger King","Soft Serve Cup",170,4.5,3,0.375,28,0,24,5
"Burger King","HERSHEY®’s Chocolate Sundae",260,5,3,0.4,49,1,43,5
"Burger King","Caramel Sundae",240,5,3.5,0.525,42,0,33,5
"Burger King","Chocolate Chip Cookies (each)",160,8,4,0.3125,24,1,15,2
"Burger King","CROISSAN’WICH® Egg & Cheese",340,18,8,1.525,29,1,4,12
"Burger King","CROISSAN’WICH® Sausage, Egg & Cheese",500,33,13,2.325,30,1,4,19
"Burger King","CROISSAN’WICH® Ham, Egg & Cheese",370,19,8,2.575,30,1,5,17
"Burger King","CROISSAN’WICH® Bacon, Egg & Cheese",370,21,9,1.9,30,1,4,14
"Burger King","Fully Loaded CROISSAN’WICH®",610,40,17,4.2,31,1,5,28
"Burger King","Double CROISSAN’WICH® with Sausage & Bacon",580,40,16,3.15,31,1,5,23
"Burger King","Double CROISSAN’WICH® with Sausage",710,52,20,3.55,31,1,5,29
"Burger King","Double CROISSAN’WICH® with Ham & Sausage",580,38,16,3.825,31,1,5,27
"Burger King","Fully Loaded Biscuit",640,45,20,5.475,31,1,4,28
"Burger King","Ham, Egg, & Cheese Biscuit",400,24,12,3.875,29,1,3,17
"Burger King","Sausage, Egg, & Cheese Biscuit",530,38,17,3.6,29,1,3,19
"Burger King","Bacon, Egg & Cheese Biscuit",400,26,13,3.175,29,1,3,13
"Burger King","Sausage Biscuit",420,28,6,2.625,28,1,2,12
"Burger King","Breakfast Burrito Jr.",370,23,8,2.325,27,3,2,15
"Burger King","EGG-NORMOUS BURRITOΡ",780,42,15,4.9,68,3,4,32
"Burger King","BK™ Ultimate Breakfast Platter",930,44,11,5.575,110,4,40,24
"Burger King","NY Ultimate Platter (Regional menu item)",900,46,12,4.4,95,5,31,25
"Burger King","Pancake and Sausage platter",610,31,9,2.525,72,1,30,12
"Burger King","Hash Browns – small",250,16,3.5,1.45,24,3,0,2
"Burger King","Hash Browns – medium",500,33,7,2.85,48,7,0,4
"Burger King","Hash Browns – large",670,44,9,3.825,65,9,0,5
"Burger King","French Toast Sticks (3 piece)",230,11,2,0.65,29,1,8,3
"Burger King","French Toast Sticks (5 piece)",380,18,3,1.075,49,2,13,5
"Burger King","American Cheese (slice)",40,3.5,2,0.45,1,0,0,2
"Burger King","Ketchup (Packet)",10,0,0,0.3125,3,0,2,0
"Burger King","Mayonnaise (Packet)",80,9,0.5,0.1875,1,0,0,0
"Burger King","Strawberry or Grape Jam (packet)",30,0,0,0,7,0,6,0
"Burger King","Breakfast Syrup (1 oz)",120,0,0,0.0375,30,0,18,0
"Burger King","Barbecue Dipping Sauce (1 oz)",40,0,0,0.775,11,0,10,0
"Burger King","Ranch Dipping Sauce (1 oz)",140,15,2.5,0.2125,1,0,1,1
"Burger King","Buffalo Dipping Sauce (1 oz)",80,8,1.5,0.9,2,0,1,0
"Burger King","Zesty Onion Ring Dipping Sauce (1 oz)",150,15,2.5,0.6,3,0,0,0
"Burger King","Honey Mustard Dipping Sauce (1oz)",90,6,1,0.45,8,0,7,0
"Burger King","Fat FREE Milk (8 fl oz)",90,0,0,0.3125,13,0,12,9
"Burger King","1% Low Fat Chocolate Milk (8 fl oz)",160,2.5,1.5,0.375,26,0,25,8
"Burger King","Smoothie: Strawberry Banana 16 fl oz",310,1,0,0.1375,71,3,50,4
"Burger King","Oreo® Shake",720,20,12,1.35,118,1,98,16
"Burger King","Chocolate Oreo® Shake",740,22,13,1.7,121,1,101,17
"Burger King","Vanilla Milk Shake",580,15,10,1.05,98,0,85,14
"Burger King","HERSHEY®’S Chocolate Milk Shake",610,16,10,1.25,103,1,88,14
"Burger King","Strawberry Milk Shake",640,15,10,1.1,113,0,99,14
"Burger King","Coca Cola classic®‡",0,0,0,0,0,0,0,0
"Burger King","16 fl oz",210,0,0,0.125,58,0,58,0
"Burger King","20 fl oz",270,0,0,0.15,73,0,73,0
"Burger King","29 fl oz",290,0,0,0.2125,105,0,105,0
"Burger King","38 fl oz",510,0,0,0.2875,138,0,138,0
"Burger King","Diet Coke®‡",0,0,0,0,0,0,0,0
"Burger King","16 fl oz",0,0,0,0.175,0,0,0,0
"Burger King","20 fl oz",0,0,0,0.2125,0,0,0,0
"Burger King","29 fl oz",0,0,0,0.3,0,0,0,0
"Burger King","38 fl oz",0,0,0,0.4,0,0,0,0
"Burger King","Sprite®‡",0,0,0,0,0,0,0,0
"Burger King","16 fl oz",210,0,0,0.2375,56,0,56,0
"Burger King","20 fl oz",260,0,0,0.3,70,0,70,0
"Burger King","29 fl oz",380,0,0,0.425,102,0,102,0
"Burger King","38 fl oz",500,0,0,0.575,133,0,133,0
"Burger King","Dr. Pepper®‡",0,0,0,0,0,0,0,0
"Burger King","16 fl oz",190,0,0,0.15,52,0,51,0
"Burger King","20 fl oz",240,0,0,0.1875,65,0,64,0
"Burger King","29 fl oz",350,0,0,0.2625,94,0,93,0
"Burger King","38 fl oz",450,0,0,0.35,124,0,121,0
"Burger King","Barq’s® Root Beer‡",0,0,0,0,0,0,0,0
"Burger King","16 fl oz",240,0,0,0.25,65,0,65,0
"Burger King","20 fl oz",300,0,0,0.3,81,0,81,0
"Burger King","29 fl oz",350,0,0,0.45,118,0,118,0
"Burger King","38 fl oz",450,0,0,0.575,155,0,155,0
"Burger King","Cherry Coke®‡",0,0,0,0,0,0,0,0
"Burger King","16 fl oz",220,0,0,0.1375,61,0,61,0
"Burger King","20 fl oz",280,0,0,0.175,76,0,76,0
"Burger King","29 fl oz",410,0,0,0.25,110,0,110,0
"Burger King","38 fl oz",450,0,0,0.325,145,0,145,0
"Burger King","Fanta® Orange‡",0,0,0,0,0,0,0,0
"Burger King","16 fl oz",230,0,0,0.15,62,0,61,0
"Burger King","20 fl oz",280,0,0,0.175,78,0,77,0
"Burger King","29 fl oz",410,0,0,0.2625,113,0,111,0
"Burger King","38 fl oz",530,0,0,0.3375,148,0,146,0
"Burger King","Hi-C® Fruit Punch‡",0,0,0,0,0,0,0,0
"Burger King","16 fl oz",220,0,0,0.1875,62,0,60,0
"Burger King","20 fl oz",280,0,0,0.2375,77,0,75,0
"Burger King","29 fl oz",410,0,0,0.3375,111,0,109,0
"Burger King","38 fl oz",450,0,0,0.45,146,0,143,0
"Burger King","MINUTE MAID® Light Lemonade",0,0,0,0,0,0,0,0
"Burger King","16 fl oz",10,0,0,0.15,3,0,0,0
"Burger King","20 fl oz",10,0,0,0.175,4,0,0,0
"Burger King","29 fl oz",15,0,0,0.2625,5,0,0,0
"Burger King","38 fl oz",20,0,0,0.3375,7,0,0,0
"Burger King","Sweet Tea",0,0,0,0,0,0,0,0
"Burger King","20 fl oz",120,0,0,0,35,0,35,0
"Burger King","29 fl oz",160,0,0,0,49,0,49,0
"Burger King","40 fl oz",240,0,0,0,71,0,71,0
"Burger King","Unsweetened Tea",0,0,0,0,0,0,0,0
"Burger King","20 fl oz",0,0,0,0,0,0,0,0
"Burger King","29 fl oz",0,0,0,0,0,0,0,0
"Burger King","40 fl oz",0,0,0,0,0,0,0,0
"Burger King","Capri Sun® 100% Apple Juice",80,0,0,0.0625,20,0,20,0
"Burger King","Minute Maid® Orange Juice",140,0,0,0.05,33,0,30,2
"Burger King","Frozen Coke® – 16 oz",130,0,0,0.125,35,0,35,0
"Burger King","BK® Café Coffee- 12 fl oz",0,0,0,0,0,0,0,0
"Burger King","BK® Café Coffee- 16 fl oz",0,0,0,0,0,0,0,0
"Burger King","BK® Café Coffee- 20 fl oz",0,0,0,0,0,0,0,0
"Burger King","BK® Café Decaf Coffee- 12 fl oz",0,0,0,0,0,0,0,0
"Burger King","BK® Café Decaf Coffee- 16 fl oz",0,0,0,0,0,0,0,0
"Burger King","BK® Café Decaf Coffee- 20 fl oz",0,0,0,0,0,0,0,0
"Burger King","BK® Café Iced Vanilla Coffee- 12 fl oz",150,8,4,0.075,21,0,21,1
"Burger King","BK® Café Iced Vanilla Coffee- 16 fl oz",200,10,5,0.1,27,0,27,2
"Burger King","BK® Café Iced Vanilla Coffee- 20 fl oz",260,13,7,0.125,34,0,34,2
"Burger King","BK® Café Iced Mocha Coffee- 12 fl oz",180,8,4,0.1,27,1,25,2
"Burger King","BK® Café Iced Mocha Coffee- 16 fl oz",240,10,6,0.1375,35,1,32,2
"Burger King","BK® Café Iced Mocha Coffee- 20 fl oz",300,13,7,0.175,45,2,41,3
"Burger King","BK® Café Mocha Frappe- 12 fl oz",300,8,5,0.5,50,1,41,7
"Burger King","BK® Café Mocha Frappe- 16 fl oz",400,10,7,0.675,68,1,58,9
"Burger King","BK® Café Mocha Frappe- 20 fl oz",510,13,8,0.875,87,1,71,12
"Burger King","BK® Café Caramel Frappe- 12 fl oz",300,8,5,0.525,50,0,41,7
"Burger King","BK® Café Caramel Frappe- 16 fl oz",400,10,7,0.7,68,0,56,9
"Burger King","BK® Café Caramel Frappe- 20 fl oz",500,12,8,0.875,86,0,71,11
"Wendy’s","Baconator",950,62,24,4.075,40,2,8,59
"Wendy’s","Dave’s Double",810,51,20,3.2,41,3,8,49
"Wendy’s","Dave’s Single",570,34,13,2.775,40,3,9,30
"Wendy’s","Dave’s Triple",1090,72,30,4.125,43,3,9,71
"Wendy’s","Double Stack",390,21,9,1.85,26,1,6,25
"Wendy’s","Jr. Bacon Cheeseburger",380,22,8,1.7,25,1,5,19
"Wendy’s","Jr. Cheeseburger",280,13,6,1.65,26,1,6,16
"Wendy’s","Jr. Cheeseburger Deluxe",340,19,7,1.65,27,2,7,16
"Wendy’s","Son of Baconator",630,39,15,3.2,37,2,7,34
"Wendy’s","3 Piece Chicken Tenders",330,16,2.5,2.525,22,0,0,24
"Wendy’s","4 Piece Chicken Nuggets",170,11,2,0.85,10,0,0,9
"Wendy’s","4 Piece Chicken Tenders",430,21,3.5,3.375,29,0,1,32
"Wendy’s","6 Picece Chicken Nuggets",250,16,3.5,1.275,14,1,0,13
"Wendy’s","6 Piece Chicken Tenders",650,32,5,5.05,43,0,1,48
"Wendy’s","10 Piece Chicken Nuggets",420,27,5,2.125,24,1,0,22
"Wendy’s","Crispy Chicken BLT",420,23,6,2.375,35,2,5,20
"Wendy’s","Crispy Chicken Sandwich",330,16,3,1.5,33,2,4,14
"Wendy’s","Grilled Asiago Ranch Club",530,23,7,3.05,36,3,6,43
"Wendy’s","Grilled Chicken Sandwich",370,10,2,2.075,38,3,8,34
"Wendy’s","Grilled Chicken Wrap",270,10,3.5,1.6,24,2,3,20
"Wendy’s","Homestyle Asiago Ranch Chicken Club",660,34,9,4.125,52,3,7,38
"Wendy’s","Homestyle Chicken Sandwich",510,22,4,2.875,51,3,6,28
"Wendy’s","S’Awesome Sauce",120,12,2,0.425,4,1,3,1
"Wendy’s","Spicy Asiago Ranch Club",670,32,9,3.825,55,4,6,38
"Wendy’s","Spicy Chicken Sandwich",510,20,3.5,2.575,54,4,6,29
"Wendy’s","Spicy Chicken Wrap",370,20,5,2.125,30,2,2,18
"Wendy’s","Apple Pecan Chicken Salad, Full Size",560,24,7,2.55,52,7,40,38
"Wendy’s","Apple Pecan Chicken Salad, Half Size",340,17,4,1.375,29,4,22,20
"Wendy’s","Berry Burst Chicken Salad, Full Size",460,17,4.5,2.725,41,7,29,41
"Wendy’s","Berry Burst Chicken Salad, Half Size",290,13,2.5,1.425,23,5,15,23
"Wendy’s","Caesar Side Salad",240,15,4,1.25,19,3,4,8
"Wendy’s","Garden Side Salad",250,18,4,1.15,18,2,4,7
"Wendy’s","Southwest Avocado Chicken Salad, Full Size",600,41,11,3.05,18,7,7,42
"Wendy’s","Southwest Avocado Chicken Salad, Half Size",300,20,6,1.55,10,4,4,21
"Wendy’s","Spicy Caesar Chicken Salad, Full Size",720,42,12,4.2,44,8,6,42
"Wendy’s","Spicy Caesar Chicken Salad, Half Size",410,23,6,2.325,30,5,4,23
"Wendy’s","Taco Salad, Full Size",660,32,13,4.55,63,10,18,32
"Wendy’s","Taco Salad, Half Size",470,23,8,3.3,49,7,12,19
"Wendy’s","Apple Bites",35,0,0,0,9,2,7,0
"Wendy’s","Baconator Fries",490,28,9,1.375,45,4,2,14
"Wendy’s","Bacon Cheese Baked Potato",440,14,6,1.375,64,7,4,17
"Wendy’s","Cheese Baked Potato",430,13,7,1.4,65,7,5,14
"Wendy’s","Chili & Cheese Baked Potato",460,11,5,1.775,71,8,7,19
"Wendy’s","Chili, Large",250,7,3,2.925,23,5,9,23
"Wendy’s","Chili, Small",170,5,2,1.95,16,4,6,15
"Wendy’s","Chili Cheese Fries",500,25,8,1.775,53,6,4,16
"Wendy’s","Natural-Cut Fries, Junior",230,10,2,0.0375,30,3,0,3
"Wendy’s","Natural-Cut Fries, Large",530,24,4.5,1.3,70,6,0,7
"Wendy’s","Natural-Cut Fries, Medium",420,19,3.5,1.05,56,5,0,6
"Wendy’s","Natural-Cut Fries, Small",320,15,2.5,0.8,43,4,0,5
"Wendy’s","Plain Baked Potato",270,0,0,0.0625,61,7,3,7
"Wendy’s","Sour Cream and Chive Baked Potato",310,2.5,2.5,0.0875,63,7,4,8
"Wendy’s","Summer Berry Burst Fruit Cup",20,0,0,0,5,1,3,0
"Wendy’s","1% Chocolate Milk",150,2.5,1.5,0.425,26,0,23,7
"Wendy’s","1% White Milk",90,2,1.5,0.2625,10,0,10,7
"Wendy’s","All-Natural Lemonade, Large",380,0,0,0,100,0,93,0
"Wendy’s","All-Natural Lemonade, Medium",330,0,0,0,86,0,81,0
"Wendy’s","All-Natural Lemonade, Small",190,0,0,0,50,0,47,0
"Wendy’s","Apple Kiwi Fruit Tea, Large",330,0,0,0.15,83,0,80,0
"Wendy’s","Apple Kiwi Fruit Tea, Medium",300,0,0,0.125,76,0,73,0
"Wendy’s","Apple Kiwi Fruit Tea, Small",170,0,0,0.075,44,0,42,0
"Wendy’s","Barq’s Root Beer, Large",450,0,0,0.45,122,0,122,0
"Wendy’s","Barq’s Root Beer, Medium",360,0,0,0.375,98,0,98,0
"Wendy’s","Barq’s Root Beer, Small",220,0,0,0.225,61,0,61,0
"Wendy’s","Brewed Unsweetened Iced Tea, Large",5,0,0,0.0625,2,0,0,0
"Wendy’s","Brewed Unsweetened Iced Tea, Medium",0,0,0,0.0375,1,0,0,0
"Wendy’s","Brewed Unsweetened Iced Tea, Small",0,0,0,0.025,1,0,0,0
"Wendy’s","Caramel Iced Coffee, Medium",240,8,5,0.1125,40,0,36,3
"Wendy’s","Caramel Iced Coffee, Small",160,6,3.5,0.075,26,0,24,2
"Wendy’s","Coca-Cola, Large",400,0,0,0.225,109,0,109,0
"Wendy’s","Coca-Cola, Medium",320,0,0,0.175,87,0,87,0
"Wendy’s","Coca-Cola, Small",200,0,0,0.1125,54,0,54,0
"Wendy’s","Coca-Cola Zero Sugar, Large",0,0,0,0.25,1,0,0,0
"Wendy’s","Coca-Cola Zero Sugar, Medium",0,0,0,0.2,1,0,0,0
"Wendy’s","Coca-Cola Zero Sugar, Small",0,0,0,0.125,0,0,0,0
"Wendy’s","Diet Coke, Large",0,0,0,0.3125,1,0,0,0
"Wendy’s","Diet Coke, Medium",0,0,0,0.25,1,0,0,0
"Wendy’s","Diet Coke, Small",0,0,0,0.1125,0,0,0,0
"Wendy’s","Dr Pepper, Large",240,0,0,0.175,66,0,64,0
"Wendy’s","Dr Pepper, Medium",190,0,0,0.1375,53,0,51,0
"Wendy’s","Dr Pepper, Small",120,0,0,0.0875,33,0,32,0
"Wendy’s","Fanta Orange, Large",430,0,0,0.275,117,0,115,0
"Wendy’s","Fanta Orange, Medium",340,0,0,0.2125,94,0,92,0
"Wendy’s","Fanta Orange, Small",210,0,0,0.1375,59,0,58,0
"Wendy’s","Hi-C Flashin’ Fruit Punch, Large",420,0,0,0.35,115,0,113,0
"Wendy’s","Hi-C Flashin’ Fruit Punch, Medium",340,0,0,0.2875,92,0,90,0
"Wendy’s","Hi-C Flashin’ Fruit Punch, Small",210,0,0,0.175,58,0,56,0
"Wendy’s","Honest Tropical Green Tea, Large",110,0,0,0.1375,29,0,29,0
"Wendy’s","Honest Tropical Green Tea, Medium",90,0,0,0.1,22,0,22,0
"Wendy’s","Honest Tropical Green Tea, Small",60,0,0,0.0625,14,0,14,0
"Wendy’s","Hot Tea",0,0,0,0,1,0,0,0
"Wendy’s","Limeade, Large",460,0,0,0.1375,117,0,111,0
"Wendy’s","Limeade, Medium",380,0,0,0.1125,98,0,93,0
"Wendy’s","Limeade, Small",230,0,0,0.075,59,0,56,0
"Wendy’s","Minute Maid Light Lemonade, Large",15,0,0,0.025,2,0,0,0
"Wendy’s","Minute Maid Light Lemonade, Medium",10,0,0,0.025,1,0,0,0
"Wendy’s","Minute Maid Light Lemonade, Small",5,0,0,0.0125,1,0,0,0
"Wendy’s","Mocha Iced Coffee, Medium",210,8,5,0.1,32,0,28,3
"Wendy’s","Mocha Iced Coffee, Small",170,6,3.5,0.075,28,0,25,2
"Wendy’s","Pear Berry Fruit Tea, Large",320,0,0,0.15,82,0,76,0
"Wendy’s","Pear Berry Fruit Tea, Medium",300,0,0,0.125,76,0,70,0
"Wendy’s","Pear Berry Fruit Tea, Small",170,0,0,0.075,44,0,40,0
"Wendy’s","Skinny Vanilla Iced Coffee, Medium",100,8,5,0.1125,14,0,0,3
"Wendy’s","Skinny Vanilla Iced Coffee, Small",70,5,3.5,0.075,6,0,0,2
"Wendy’s","Small Sprite, Small",200,0,0,0.225,53,0,53,0
"Wendy’s","Sprite, Large",390,0,0,0.45,105,0,105,0
"Wendy’s","Sprite, Medium",310,0,0,0.35,84,0,84,0
"Wendy’s","Strawberry Lemonade, Large",480,0,0,0.1375,121,0,114,0
"Wendy’s","Strawberry Lemonade, Medium",380,0,0,0.1125,98,0,92,0
"Wendy’s","Strawberry Lemonade, Small",230,0,0,0.075,58,0,54,0
"Wendy’s","Strawberry Sweet Tea, Large",270,0,0,0.0375,69,0,67,0
"Wendy’s","Strawberry Sweet Tea, Medium",240,0,0,0.0375,60,0,59,0
"Wendy’s","Strawberry Sweet Tea, Small",140,0,0,0.025,36,0,35,0
"Wendy’s","Strawberry Tea, Large",90,0,0,0.05,22,0,20,0
"Wendy’s","Strawberry Tea, Medium",60,0,0,0.0375,16,0,14,0
"Wendy’s","Strawberry Tea, Small",45,0,0,0.025,11,0,10,0
"Wendy’s","Sweetened Iced Tea, Large",300,0,0,0.0625,77,0,75,0
"Wendy’s","Sweetened Iced Tea, Medium",220,0,0,0.05,58,0,56,0
"Wendy’s","Sweetened Iced Tea, Small",160,0,0,0.025,41,0,40,0
"Wendy’s","Vanilla Iced Coffee, Medium",250,8,5,0.1,42,0,39,3
"Wendy’s","Vanilla Iced Coffee, Small",170,6,3.5,0.075,28,0,26,2
"Wendy’s","Classic Chocolate Frosty, Junior",200,5,3,0.225,33,0,27,6
"Wendy’s","Classic Chocolate Frosty, Large",590,15,10,0.65,99,0,81,17
"Wendy’s","Classic Chocolate Frosty, Medium",470,12,8,0.525,79,0,65,13
"Wendy’s","Classic Chocolate Frosty, Small",350,9,6,0.375,58,0,47,10
"Wendy’s","Vanilla Frosty, Junior",190,5,3.5,0.225,32,0,27,5
"Wendy’s","Vanilla Frosty, Large",570,15,10,0.65,94,0,78,15
"Wendy’s","Vanilla Frosty, Medium",450,12,8,0.525,75,0,63,12
"Wendy’s","Vanilla Frosty, Small",340,9,6,0.4,56,0,47,9
"Wendy’s","Chocolate Chunk Cookie",310,16,8,0.525,40,2,24,3
"Wendy’s","Double Chocolate Chunk Cookie",290,14,7,0.575,39,4,21,4
"Wendy’s","Sugar Cookie",330,16,8,0.75,43,1,24,3
"Wendy’s","Kids 2 Piece Chicken Tenders",200,10,1.5,1.55,13,0,0,15
"Wendy’s","Kids 4 Piece Chicken Nuggets",170,11,2,0.85,10,0,0,9
"Wendy’s","Kids Cheeseburger",280,13,6,1.35,25,1,5,15
"Wendy’s","Kids Grilled Chicken Wrap",270,10,3.5,1.6,24,2,3,20
"Wendy’s","Kids Hamburger",240,9,3.5,0.875,24,1,5,13
